text(पलाउ)	locatedIn	text(Micronesië)
text(Palaos)	locatedIn	text(Oceania)
text(Maldives)	locatedIn	text(Asia:del:Sur)
text(Malediven)	locatedIn	text(Asia)
text(Brunei)	locatedIn	text(Sudeste:Asiático)
text(汶莱)	locatedIn	text(亞洲)
text(ब्रुनेई)	neighborOf	text(Malasia)
text(जापान)	locatedIn	text(Oost-Azië)
text(اليابان)	locatedIn	text(آسيا)
text(荷蘭)	locatedIn	text(西欧)
text(Netherlands)	neighborOf	text(Germany)
text(هولندا)	neighborOf	text(Belgium)
text(Turquía)	locatedIn	text(पश्चिमी:एशिया)
text(Turkey)	neighborOf	text(亞美尼亞)
text(तुर्की)	neighborOf	text(أذربيجان)
text(Turkije)	neighborOf	text(ईरान)
text(土耳其)	neighborOf	text(希腊)
text(تركيا)	neighborOf	text(格鲁吉亚)
text(Turquía)	neighborOf	text(Bulgarije)
text(Turkey)	neighborOf	text(Iraq)
text(तुर्की)	neighborOf	text(Syrië)
text(أنغولا)	locatedIn	text(Central:Africa)
text(Angola)	locatedIn	text(अफ्रीका)
text(अंगोला)	neighborOf	text(कांगो:लोकतान्त्रिक:गणराज्य)
text(Angola)	neighborOf	text(纳米比亚)
text(Angola)	neighborOf	text(贊比亞)
text(安哥拉)	neighborOf	text(剛果共和國)
text(Armenia)	locatedIn	text(Zuidwest-Azië)
text(أرمينيا)	locatedIn	text(एशिया)
text(Armenië)	neighborOf	text(Georgia)
text(Armenia)	neighborOf	text(Azerbeidzjan)
text(आर्मीनिया)	neighborOf	text(Irán)
text(亞美尼亞)	neighborOf	text(Turkije)
text(अण्टीगुआ:और:बारबूडा)	locatedIn	text(Caribe)
text(Antigua:y:Barbuda)	locatedIn	text(美洲)
text(Esuatini)	locatedIn	text(إفريقيا:الجنوبية)
text(Swaziland)	locatedIn	text(非洲)
text(एस्वातीनी)	neighborOf	text(Zuid-Afrika)
text(Eswatini)	neighborOf	text(Mozambique)
text(Wallis:and:Futuna)	locatedIn	text(पोलीनेशिया)
text(वालिस:और:फ़्यूचूना)	locatedIn	text(Oceanië)
text(उरुग्वे)	locatedIn	text(América:del:Sur)
text(Uruguay)	locatedIn	text(महाअमेरिका)
text(Uruguay)	neighborOf	text(阿根廷)
text(Uruguay)	neighborOf	text(ब्राज़ील)
text(Zambia)	locatedIn	text(东部非洲)
text(Zambia)	locatedIn	text(إفريقيا)
text(زامبيا)	neighborOf	text(تنزانيا)
text(ज़ाम्बिया)	neighborOf	text(موزمبيق)
text(Zambia)	neighborOf	text(República:Democrática:del:Congo)
text(贊比亞)	neighborOf	text(أنغولا)
text(Zambia)	neighborOf	text(بوتسوانا)
text(Zambia)	neighborOf	text(زيمبابوي)
text(زامبيا)	neighborOf	text(Namibia)
text(ज़ाम्बिया)	neighborOf	text(馬拉威)
text(塞浦路斯)	locatedIn	text(पूर्वी:यूरोप)
text(Chipre)	locatedIn	text(أوروبا)
text(Cyprus)	neighborOf	text(英国)
text(Reino:Unido)	locatedIn	text(Northern:Europe)
text(英国)	locatedIn	text(欧洲)
text(Verenigd:Koninkrijk)	neighborOf	text(Verenigd:Koninkrijk)
text(蒲隆地)	locatedIn	text(África:Oriental)
text(Burundi)	locatedIn	text(Africa)
text(बुरुण्डी)	neighborOf	text(Congo-Kinshasa)
text(Burundi)	neighborOf	text(卢旺达)
text(Burundi)	neighborOf	text(Tanzania)
text(República:Centroafricana)	locatedIn	text(मध्य:अफ्रीका)
text(मध्य:अफ़्रीकी:गणराज्य)	locatedIn	text(África)
text(中非共和國)	neighborOf	text(Tsjaad)
text(جمهورية:إفريقيا:الوسطى)	neighborOf	text(Congo-Brazzaville)
text(Central:African:Republic)	neighborOf	text(Democratic:Republic:of:the:Congo)
text(Centraal-Afrikaanse:Republiek)	neighborOf	text(दक्षिण:सूडान)
text(República:Centroafricana)	neighborOf	text(Kameroen)
text(मध्य:अफ़्रीकी:गणराज्य)	neighborOf	text(सूडान)
text(Tonga)	locatedIn	text(玻里尼西亞)
text(टोंगा)	locatedIn	text(大洋洲)
text(कोत:दिव्वार)	locatedIn	text(غرب:إفريقيا)
text(科特迪瓦)	locatedIn	text(Afrika)
text(Ivoorkust)	neighborOf	text(布吉納法索)
text(Costa:de:Marfil)	neighborOf	text(Ghana)
text(Ivory:Coast)	neighborOf	text(Liberia)
text(ساحل:العاج)	neighborOf	text(Mali)
text(कोत:दिव्वार)	neighborOf	text(गिनी)
text(سيراليون)	locatedIn	text(पश्चिमी:अफ्रीका)
text(Sierra:Leone)	neighborOf	text(Liberia)
text(Sierra:Leone)	neighborOf	text(Guinee)
text(مايوت)	locatedIn	text(पूर्वी:अफ्रीका)
text(Mayotte)	locatedIn	text(अफ्रीका)
text(波蘭)	locatedIn	text(Oost-Europa)
text(Poland)	neighborOf	text(ألمانيا)
text(पोलैंड)	neighborOf	text(Ucrania)
text(بولندا)	neighborOf	text(स्लोवाकिया)
text(Polonia)	neighborOf	text(Belarus)
text(Polen)	neighborOf	text(Russia)
text(波蘭)	neighborOf	text(立陶宛)
text(Poland)	neighborOf	text(चेक:गणराज्य)
text(कज़ाख़िस्तान)	locatedIn	text(Centraal-Azië)
text(Kazachstan)	locatedIn	text(Azië)
text(Kazajistán)	neighborOf	text(तुर्कमेनिस्तान)
text(哈萨克斯坦)	neighborOf	text(República:Popular:China)
text(Kazakhstan)	neighborOf	text(Kyrgyzstan)
text(كازاخستان)	neighborOf	text(उज़्बेकिस्तान)
text(कज़ाख़िस्तान)	neighborOf	text(रूस)
text(Uzbekistan)	locatedIn	text(中亚)
text(أوزبكستان)	locatedIn	text(Asia)
text(乌兹别克斯坦)	neighborOf	text(أفغانستان)
text(Uzbekistán)	neighborOf	text(Turkmenistán)
text(Oezbekistan)	neighborOf	text(Kazachstan)
text(उज़्बेकिस्तान)	neighborOf	text(किर्गिज़स्तान)
text(Uzbekistan)	neighborOf	text(塔吉克斯坦)
text(तुर्क:और:केकोस:द्वीपसमूह)	locatedIn	text(الكاريبي)
text(Turks-:en:Caicoseilanden)	locatedIn	text(Amerika)
text(Nueva:Caledonia)	locatedIn	text(Melanesia)
text(كاليدونيا:الجديدة)	locatedIn	text(أوقيانوسيا)
text(पाकिस्तान)	locatedIn	text(Zuid-Azië)
text(Pakistan)	neighborOf	text(चीनी:जनवादी:गणराज्य)
text(باكستان)	neighborOf	text(阿富汗)
text(巴基斯坦)	neighborOf	text(伊朗)
text(Pakistan)	neighborOf	text(भारत)
text(अर्जेण्टीना)	locatedIn	text(दक्षिण:अमेरिका)
text(Argentinië)	locatedIn	text(América)
text(الأرجنتين)	neighborOf	text(Bolivia)
text(Argentina)	neighborOf	text(Chile)
text(Argentina)	neighborOf	text(البرازيل)
text(阿根廷)	neighborOf	text(巴拉圭)
text(अर्जेण्टीना)	neighborOf	text(烏拉圭)
text(Cuba)	locatedIn	text(加勒比地区)
text(Cuba)	locatedIn	text(Americas)
text(Servië)	locatedIn	text(Europa:del:Sur)
text(सर्बिया)	neighborOf	text(Macedonia:del:Norte)
text(Serbia)	neighborOf	text(मॉन्टेनीग्रो)
text(صربيا)	neighborOf	text(Kosovo)
text(Serbia)	neighborOf	text(Bosnië:en:Herzegovina)
text(塞爾維亞)	neighborOf	text(क्रोएशिया)
text(Servië)	neighborOf	text(المجر)
text(सर्बिया)	neighborOf	text(बुल्गारिया)
text(Serbia)	neighborOf	text(Romania)
text(捷克)	locatedIn	text(Eastern:Europe)
text(Czech:Republic)	locatedIn	text(Europa)
text(Tsjechië)	neighborOf	text(德國)
text(جمهورية:التشيك)	neighborOf	text(ऑस्ट्रिया)
text(República:Checa)	neighborOf	text(पोलैंड)
text(चेक:गणराज्य)	neighborOf	text(سلوفاكيا)
text(निकारागुआ)	locatedIn	text(中美洲)
text(Nicaragua)	neighborOf	text(Honduras)
text(尼加拉瓜)	neighborOf	text(Costa:Rica)
text(فيتنام)	locatedIn	text(दक्षिण:पूर्व:एशिया)
text(वियतनाम)	locatedIn	text(Asia)
text(Vietnam)	neighborOf	text(Cambodja)
text(Vietnam)	neighborOf	text(Laos)
text(Vietnam)	neighborOf	text(Volksrepubliek:China)
text(紐埃)	locatedIn	text(Polynesië)
text(Niue)	locatedIn	text(Oceanía)
text(Canada)	locatedIn	text(North:America)
text(Canada)	locatedIn	text(أمريكتان)
text(कनाडा)	neighborOf	text(संयुक्त:राज्य:अमेरिका)
text(Slowakije)	locatedIn	text(मध्य:यूरोप)
text(Slovakia)	neighborOf	text(烏克蘭)
text(Eslovaquia)	neighborOf	text(بولندا)
text(斯洛伐克)	neighborOf	text(奧地利)
text(स्लोवाकिया)	neighborOf	text(Hungary)
text(سلوفاكيا)	neighborOf	text(捷克)
text(Mozambique)	locatedIn	text(East:Africa)
text(Mozambique)	neighborOf	text(Tanzania)
text(मोज़ाम्बीक)	neighborOf	text(斯威士兰)
text(莫桑比克)	neighborOf	text(津巴布韦)
text(Mozambique)	neighborOf	text(Zambia)
text(موزمبيق)	neighborOf	text(مالاوي)
text(Mozambique)	neighborOf	text(South:Africa)
text(Aruba)	locatedIn	text(कैरिबिया)
text(阿魯巴)	locatedIn	text(美洲)
text(Bolivia)	locatedIn	text(Zuid-Amerika)
text(Bolivia)	locatedIn	text(महाअमेरिका)
text(बोलिविया)	neighborOf	text(Chili)
text(بوليفيا)	neighborOf	text(Brasil)
text(玻利維亞)	neighborOf	text(पैराग्वे)
text(Bolivia)	neighborOf	text(Argentinië)
